Antisocialbehaviour 1940
Bicycletheft 240
Burglary 1297
Criminaldamageandarson 1222
Drugs 292
Othercrime 292
Othertheft 1845
Possessionofweapons 86
Publicorder 803
Robbery 140
Shoplifting 1244
Theftfromtheperson 274
Vehiclecrime 956
Violenceandsexualoffences 4299
